Company Name,Ticker
SITEMINDER LIMITED,SDR
SIV CAPITAL LIMITED,SIV
SKY NETWORK TELEVISION LIMITED.,SKT
SPACETALK LTD,SPA
SPDR S&P/ASX 200 LISTED PROPERTY FUND,SLF
STONEHORSE ENERGY LIMITED,SHE
SYNLAIT MILK LIMITED,SM1
SYNTARA LIMITED,SNT
TERRAGEN HOLDINGS LIMITED,TGH
TIMAH RESOURCES LIMITED,TML
TRAJAN GROUP HOLDINGS LIMITED,TRJ
TRANSMETRO CORPORATION LIMITED,TCO
TREASURY WINE ESTATES LIMITED,TWE
TRYPTAMINE THERAPEUTICS LIMITED,TYP
TYRANNA RESOURCES LIMITED,TYX
TZ LIMITED,TZL
VENTIA SERVICES GROUP LIMITED,VNT
VENTURE MINERALS LIMITED,VMS
VERTEX MINERALS LIMITED,VTX
VIRIDIS MINING AND MINERALS LIMITED,VMM
VODAFONE GROUP PLC.,VPG
VOLTAIC STRATEGIC RESOURCES LTD,VSR
WAM CAPITAL LIMITED,WAM
WATERCO LIMITED,WAT
X2M CONNECT LIMITED,X2M
ZIMPLATS HOLDINGS LIMITED,ZIM
ZINC OF IRELAND NL,ZMI
ACRUX LIMITED,ACR
ANSARADA GROUP LIMITED,AND
ANSON RESOURCES LIMITED,ASN
ARCHER MATERIALS LIMITED,AXE
ARCHTIS LIMITED,AR9
ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,ALI
ARISTOCRAT LEISURE LIMITED,ALL
ASSOCIATE GLOBAL PARTNERS LIMITED,APL
ASTUTE METALS NL,ASE
ATTURRA LIMITED,ATA
AVJENNINGS LIMITED,AVJ
BANCO SANTANDER S.A.,B01
BASIN ENERGY LIMITED,BSN
BASS OIL LIMITED,BAS
BLACKWALL LIMITED,BWF
BLINKLAB LIMITED,BB1
BLUE ENERGY LIMITED.,BLU
BLUGLASS LIMITED,BLG
BURLEY MINERALS LTD,BUR
BURU ENERGY LIMITED,BRU
CAR GROUP LIMITED,CAR
CARNABY RESOURCES LIMITED,CNB
CAZALY RESOURCES LIMITED,CAZ
CHORUS LIMITED,CNU
COG FINANCIAL SERVICES LIMITED,COG
COKAL LIMITED,CKA
COMPUTERSHARE LIMITED.,CPU
CORAZON MINING LIMITED,CZN
COSMOS EXPLORATION LIMITED,C1X
D3 ENERGY LIMITED,D3E
DIVERSIFIED UNITED INVESTMENT LIMITED,DUI
DOCTOR CARE ANYWHERE GROUP PLC,DOC
DUXTON WATER LIMITED,D2O
ENERGY METALS LTD,EME
ENRG ELEMENTS LTD,EEL
FALCON METALS LTD,FAL
FAR LIMITED,FAR
FIREBIRD METALS LIMITED,FRB
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2019,FM2
FREEDOM CARE GROUP HOLDINGS LIMITED,FCG
FUTURE BATTERY MINERALS LIMITED,FBM
FUTURE GENERATION GLOBAL LIMITED,FGG
GREENHY2 LIMITED,H2G
GULLEWA LIMITED,GUL
HEALTH AND PLANT PROTEIN GROUP LIMITED,HPP
HYUNDAI CAPITAL SERVICES INC.,HCS
IMPACT MINERALS LIMITED,IPT
IMPEDIMED LIMITED,IPD
INCOME ASSET MANAGEMENT GROUP LIMITED.,IAM
IONIC RARE EARTHS LIMITED,IXR
IRESS LIMITED,IRE
K & S CORPORATION LIMITED,KSC
KINGFISHER MINING LTD,KFM
KOONENBERRY GOLD LIMITED,KNB
LANTHANEIN RESOURCES LTD,LNR
LI-S ENERGY LIMITED,LIS
LIVE VERDURE LTD,LV1
MACQUARIE TECHNOLOGY GROUP LIMITED,MAQ
MAMBA EXPLORATION LIMITED,M24
MIRRABOOKA INVESTMENTS LIMITED,MIR
NAMOI COTTON LIMITED,NAM
NOXOPHARM LIMITED,NOX
NSX LIMITED,NSX
OAKAJEE CORPORATION LIMITED,OKJ
OD6 METALS LIMITED,OD6
ONEVIEW HEALTHCARE PLC,ONE
ORANGE MINERALS NL,OMX
PACGOLD LIMITED,PGO
PARAGON CARE LIMITED,PGC
PEAK RARE EARTHS LIMITED,PEK
PENGANA GLOBAL PRIVATE CREDIT TRUST,PCX
PLENTI GROUP LIMITED,PLT
PNX METALS LIMITED,PNX
POLARX LIMITED,PXX
PREMIER INVESTMENTS LIMITED,PMV
PROTEAN ENERGY LIMITED,POW
PSC INSURANCE GROUP LIMITED,PSI
QUANTUM GRAPHITE LIMITED,QGL
REA GROUP LTD,REA
